Reason for absence,Month of absence,Day of the week,Transportation expense,Distance from Residence to Work,Service time,Age,Work load Average/day ,Hit target,Education,Social drinker,Weight,Height,Body mass index,Absenteeism time in hours,class
26,7,3,289,36,13,33,"239,554",97,1,1,90,172,30,4,1
0,7,3,118,13,18,50,"239,554",97,1,1,98,178,31,0,1
23,7,4,179,51,18,38,"239,554",97,1,1,89,170,31,2,1
7,7,5,279,5,14,39,"239,554",97,1,1,68,168,24,4,1
23,7,5,289,36,13,33,"239,554",97,1,1,90,172,30,2,1
23,7,6,179,51,18,38,"239,554",97,1,1,89,170,31,2,1
22,7,6,361,52,3,28,"239,554",97,1,1,80,172,27,8,1
23,7,6,260,50,11,36,"239,554",97,1,1,65,168,23,4,1
19,7,2,155,12,14,34,"239,554",97,1,1,95,196,25,40,1
22,7,2,235,11,14,37,"239,554",97,3,0,88,172,29,8,1
1,7,2,260,50,11,36,"239,554",97,1,1,65,168,23,8,1
1,7,3,260,50,11,36,"239,554",97,1,1,65,168,23,8,1
11,7,4,260,50,11,36,"239,554",97,1,1,65,168,23,8,1
11,7,4,179,51,18,38,"239,554",97,1,1,89,170,31,1,1
23,7,4,179,51,18,38,"239,554",97,1,1,89,170,31,4,1
14,7,6,246,25,16,41,"239,554",97,1,1,67,170,23,8,1
23,7,6,179,51,18,38,"239,554",97,1,1,89,170,31,2,1
21,7,2,179,51,18,38,"239,554",97,1,1,89,170,31,8,1
11,7,5,189,29,13,33,"239,554",97,1,0,69,167,25,8,1
23,8,4,248,25,14,47,"205,917",92,1,0,86,165,32,2,1
10,8,4,330,16,4,28,"205,917",92,2,0,84,182,25,8,1
11,8,2,179,51,18,38,"205,917",92,1,1,89,170,31,1,1
13,8,2,361,52,3,28,"205,917",92,1,1,80,172,27,40,1
28,8,6,260,50,11,36,"205,917",92,1,1,65,168,23,4,1
18,8,2,289,36,13,33,"205,917",92,1,1,90,172,30,8,1
25,8,2,361,52,3,28,"205,917",92,1,1,80,172,27,7,1
23,8,3,289,36,13,33,"205,917",92,1,1,90,172,30,1,1
28,8,4,157,27,6,29,"205,917",92,1,1,75,185,22,4,1
18,8,4,289,36,13,33,"205,917",92,1,1,90,172,30,8,1
23,8,6,179,51,18,38,"205,917",92,1,1,89,170,31,2,1
18,8,2,179,51,18,38,"205,917",92,1,1,89,170,31,8,1
18,8,5,235,29,12,48,"205,917",92,1,0,88,163,33,8,1
23,8,5,235,11,14,37,"205,917",92,3,0,88,172,29,4,1
