Na2O,MgO,Al2O3,SiO2,K2O,CaO,TiO2,Fe2O3,MnO,ZnO,class
0.62,0.38,19.61,71.99,4.84,0.31,0.07,1.18,630,70,1
0.57,0.47,21.19,70.09,4.98,0.49,0.09,1.12,380,80,1
0.49,0.19,18.6,74.7,3.47,0.43,0.06,1.07,420,50,1
0.89,0.3,18.01,74.19,4.01,0.27,0.09,1.23,460,70,1
0.03,0.36,18.41,73.99,4.33,0.65,0.05,1.19,380,90,1
0.62,0.18,18.82,73.79,4.28,0.3,0.04,0.96,350,80,1
0.45,0.33,17.65,74.99,3.53,0.7,0.07,1.28,650,90,1
0.59,0.45,21.42,71.46,3.47,0.35,0.05,1.2,500,70,1
0.42,0.53,23.12,67.41,3.81,0.74,0.16,2.81,340,120,1
0.56,0.49,19.86,72,4.51,0.25,0.23,1.1,330,70,1
0.35,0.23,19.53,72.87,4.62,0.28,0.07,1.05,320,40,1
0.43,0.7,19.35,71.21,4.77,1.26,0.04,1.23,420,90,1
0.76,0.44,19.45,72.52,3.94,0.58,0.07,1.24,420,100,1
0.03,0.26,18.34,73.26,5.11,0.14,0.12,1.74,480,100,1
0.71,0.31,24.47,65.2,6.16,0.17,0.09,1.89,430,110,1
0.25,0.24,23.07,67.37,5.8,0.18,0.14,1.94,280,70,1
0.43,0.47,20.67,70.07,5.27,0.13,0.2,1.77,300,80,1
0.28,0.22,20.89,70.77,4.79,0.15,0.13,1.77,230,90,1
0.25,0.49,20.79,69.92,5.37,0.18,0.15,1.86,470,120,1
0.16,0.34,23.77,66.31,6.05,0.16,0.16,2.05,280,80,1
0.03,0.36,25.13,64.58,6.56,0.17,0.07,2.11,400,90,1
0.24,0.55,22.81,66.31,5.59,0.2,0.18,3.11,350,110,1
0.29,0.33,23.49,67.94,4.46,0.17,0.16,2.15,310,80,1
0.45,0.46,25.8,64.42,4.57,0.15,0.19,2.97,240,110,1
0.29,0.23,22.26,68.93,4.19,0.12,0.29,2.68,250,120,1
0.41,0.25,19.48,71.97,5.03,0.28,0.04,1.53,490,110,1
0.34,0.47,22.48,67.8,5.45,0.49,0.14,1.83,310,120,1
0.71,0.25,19.49,70.85,5.43,0.27,0.14,1.88,370,110,1
0.3,0.37,25,65.09,6.17,0.18,0.07,1.83,360,80,1
0.5,0.32,25.15,65.37,5.34,0.12,0.1,2.1,400,90,1
0.31,0.41,22.77,67.75,4.5,0.18,0.24,2.85,350,100,1
0.2,0.49,24.07,66.18,4.66,0.2,0.21,2.98,410,120,1
0.26,0.32,26.48,63.88,5.62,0.13,0.15,2.17,370,70,1
0.86,0.19,21.54,68.95,5.59,0.16,0.08,1.63,620,120,1
0.17,0.53,21.4,71.02,2.73,0.14,0.28,2.73,180,80,1
0.32,0.22,22.34,68.86,5.28,0.13,0.12,1.73,300,100,1
0.39,0.35,23.2,66.4,6.25,0.21,0.1,2.09,470,110,1
0.18,0.18,23.25,67.86,5.37,0.14,0.11,1.92,390,120,1
0.42,0.18,22.09,69.03,5.17,0.17,0.07,1.86,510,120,1
0.29,0.21,24.35,65.43,6.07,0.13,0.1,2.41,420,100,1
0.55,0.27,21.58,69.91,4.61,0.13,0.1,1.86,330,110,1
0.64,0.19,21.31,69.34,4.9,0.22,0.14,2.27,420,120,1
0.14,0.27,24.01,66.7,5.47,0.23,0.09,2.08,420,70,1
0.31,0.28,23.23,67.08,5.63,0.16,0.13,2.18,360,90,1
0.97,0.07,11.42,74.41,5.7,5.34,0.05,1.04,550,60,2
1.46,0.47,12.96,68.79,4.85,8.88,0.11,1.49,950,40,2
1.05,0.23,13.64,69.9,4.46,8.43,0.07,1.22,590,90,2
0.14,0.41,12.42,67.24,4.29,12.86,0.06,1.58,960,70,2
0.37,1.03,13.15,68.98,5.58,7.91,0.08,1.9,800,120,2
1.09,0.5,13.47,68.51,5.97,7.23,0.19,2.05,870,50,2
1.16,0.58,13.83,71.37,5.14,5.99,0.08,0.85,1050,90,2
1.01,0.1,11.84,71.13,3.84,9.4,0.1,1.58,520,50,2
1.88,0.58,12.95,67.58,2.98,10.28,0.12,2.61,590,90,2
0.73,0.25,13,71.01,5.78,6.43,0.1,1.71,1090,70,2
0.68,0.27,12.74,71.93,6.16,6.1,0.09,1.04,810,20,2
1.29,0.32,12.83,68.81,5.8,7.92,0.07,1.97,680,40,2
1.27,0.54,13.01,73.11,5.46,4.12,0.13,1.36,660,40,2
0.28,0.52,14.76,68.65,3.63,10.46,0.07,0.64,2000,120,2
0.34,0.97,13.76,65.53,3.57,13.69,0.06,1.07,2190,70,2
0.5,0.66,11.3,69.9,3.88,11.72,0.06,0.98,1270,130,2
0.51,0.4,13.54,71.35,4.14,8.21,0.07,0.78,910,120,2
0.14,0.5,14.15,68.91,5.1,9.21,0.08,0.91,1410,50,2
0.38,1.04,12.37,67.7,3.89,12.17,0.07,1.38,1830,140,2
0.25,0.47,14.09,68.46,4.71,9.81,0.07,1.14,1460,100,2
0.2,0.53,12.83,72.24,5.03,6.92,0.07,1.18,950,50,2
0.19,0.57,13.61,70.06,4.7,9.14,0.07,0.66,640,70,2
0.69,0.35,13.86,71.38,4.94,6.71,0.16,0.91,770,120,2
0.65,0.78,13.81,70.37,5.91,6.14,0.08,1.27,1500,110,2
0.03,1.01,13.05,72.28,5.56,5.77,0.07,1.24,1750,150,2
0.61,0.35,12.73,71.6,5.79,6.96,0.07,0.88,1740,140,2
0.03,0.54,13.97,67.3,3.56,12.53,0.1,0.97,1340,70,2
0.31,0.53,14.63,68.22,3.6,11.06,0.06,0.58,1950,230,2
0.25,0.5,12.93,71.59,5.5,6.99,0.06,1.18,1290,90,2
0.11,0.32,11.33,75.95,5.87,4.37,0.09,0.96,1600,200,2
0.24,0.39,12.64,74.08,5.11,5.76,0.08,0.71,620,100,2
0.15,0.33,13.14,73.76,4.87,6.03,0.05,0.68,700,110,2
1,0.52,13.7,70.52,6.74,5.34,0.05,1.11,1510,140,2
0.66,0.53,12.95,72.16,6.57,4.29,0.14,1.69,2250,90,2
0.32,0.58,12.89,70.6,4.27,8.7,0.05,1.61,880,70,2
0.71,0.57,11.61,71.04,5.31,8.13,0.06,1.58,2450,150,2
0.4,0.47,14.38,66.59,4.16,12.16,0.07,0.77,870,80,2
0.03,1.32,13.55,67.66,5.41,8.91,0.11,2,2970,180,2
0.37,0.47,13.56,72.77,6.54,4.12,0.08,1.09,2560,80,2
0.34,0.55,12.37,70.7,5.33,8.06,0.06,1.61,1250,90,2
0.72,0.34,12.2,72.19,6.19,6.06,0.04,1.27,1700,110,2
0.23,0.24,12.99,71.81,5.25,7.15,0.05,1.29,750,100,2
0.14,0.46,12.62,69.16,4.34,11.03,0.05,1.2,920,90,2
0.14,0.63,14.25,71.55,4.87,6.43,0.08,1.05,800,90,2
